episode,sentiment,homer,marge,bart,lisa,maggie
01/01,1.8113207547169812,22,15,13,6,2
01/02,1.0126582278481013,4,2,46,1,0
01/03,1.2258064516129032,27,1,16,0,0
01/04,1.103448275862069,22,8,10,6,0
01/05,1.1162790697674418,5,3,30,4,0
01/06,1.2151898734177216,12,6,16,25,7
01/07,1.8,7,0,12,2,5
01/08,1.2419354838709677,27,1,15,0,0
01/09,1.9038461538461537,18,25,7,5,1
01/10,1.4528301886792452,24,11,18,0,0
01/11,1.5961538461538463,11,10,24,4,3
01/12,1.0957446808510638,4,3,16,2,0
01/13,1.25,16,12,12,1,8
02/01,1.0317460317460319,2,2,20,2,0
02/02,0.9838709677419355,16,2,0,0,0
02/03,0.6941176470588235,6,5,5,8,1
02/04,1.082191780821918,5,7,2,1,0
02/05,1.1111111111111112,13,5,4,2,0
02/06,1.5263157894736843,6,3,13,5,0
02/07,0.8470588235294118,4,4,15,7,1
02/08,1.0806451612903225,6,2,13,5,0
02/09,0.8225806451612904,1,14,0,0,2
02/10,0.8791208791208791,6,2,14,2,0
02/11,1.1875,11,9,3,3,5
02/12,1.3220338983050848,8,13,2,0,0
02/13,0.9868421052631579,6,3,5,5,1
02/14,1.368421052631579,11,5,8,0,0
02/15,1.42,19,5,6,3,1
02/16,1.1730769230769231,3,1,5,11,0
02/17,0.9240506329113924,3,0,5,1,0
02/18,2.3658536585365852,10,15,0,1,1
02/19,1.9318181818181819,4,2,14,15,1
02/20,1.0,14,7,3,1,1
02/21,1.5476190476190477,3,1,11,1,1
02/22,1.0,8,1,8,2,5
03/01,1.0166666666666666,7,3,18,10,2
03/02,1.5396825396825398,5,8,5,16,0
03/03,1.1384615384615384,26,4,4,1,0
03/04,1.0,7,0,17,1,0
03/05,1.146067415730337,19,2,12,0,1
03/06,1.4242424242424243,1,0,16,0,0
03/07,0.9767441860465116,12,1,15,4,2
03/08,1.411764705882353,14,2,2,14,2
03/09,1.3043478260869565,8,2,12,3,0
03/10,1.2881355932203389,31,2,5,3,1
03/11,1.5714285714285714,12,2,6,3,0
03/12,1.6153846153846154,31,25,4,1,1
03/13,1.4444444444444444,3,2,22,1,1
03/14,1.7878787878787878,8,2,6,13,0
03/15,1.288888888888889,10,15,8,4,14
03/16,0.9824561403508771,10,8,6,2,4
03/17,1.9454545454545455,16,1,0,0,0
03/18,1.0746268656716418,2,1,13,12,1
03/19,1.35,6,7,4,3,2
03/20,0.971830985915493,26,9,0,0,1
03/21,0.9888888888888889,3,2,8,0,2
03/22,1.1132075471698113,6,1,5,0,0
03/23,0.9452054794520548,2,3,14,1,0
03/24,1.3174603174603174,15,5,1,5,5
